studytime,failures,absences,G1,G2,G3
2,2,9,8,17,10
4,1,5,19,18,17
2,0,4,18,15,16
2,0,13,13,5,9
1,0,5,9,19,14
1,0,10,12,17,14
1,2,9,13,5,6
3,0,2,14,12,13
2,1,4,9,8,7
2,0,6,10,9,10
1,1,5,5,12,7
4,0,3,15,9,12
3,0,7,16,14,15
1,2,1,19,8,10
1,0,10,11,16,13
1,0,4,8,10,9
2,2,1,15,17,13
2,2,19,6,19,10
2,0,12,9,16,13
1,0,2,16,9,11
2,0,4,7,18,13
1,0,11,10,11,10
1,0,0,12,18,14
2,0,7,11,14,12
2,0,7,7,11,9
2,0,7,12,17,14
1,0,5,6,8,7
2,0,1,14,16,15
2,0,4,13,17,15
1,0,10,8,9,8
2,0,12,5,17,12
1,0,16,12,7,9
1,1,14,11,19,13
3,0,9,15,8,12
4,0,0,17,19,18
3,0,16,9,18,14
2,0,15,14,8,11
1,0,1,17,7,11
2,0,13,9,17,13
2,0,12,11,14,12
1,0,0,9,9,9
2,0,3,12,9,10
1,1,9,15,15,13
3,0,2,17,11,14
1,0,8,10,8,8
2,0,11,17,17,16
2,3,24,9,8,5
2,0,16,13,13,13
2,0,3,15,10,12
1,1,8,6,19,11
4,2,15,5,8,6
2,3,24,12,6,5
3,0,17,16,10,13
3,0,20,7,6,7
2,0,5,18,9,13
3,0,11,15,10,12
1,0,4,16,8,11
1,0,4,16,18,16
1,2,8,16,17,13
2,0,4,11,7,9
2,0,23,14,11,12
1,0,24,17,6,10
3,0,3,15,17,16
2,0,18,12,15,13
1,0,12,19,18,17
2,0,5,17,10,13
1,0,11,17,17,16
3,0,5,10,8,10
1,0,3,16,10,12
4,3,3,14,8,8
2,0,2,18,8,12
1,0,3,13,19,15
1,1,8,11,8,8
3,0,3,19,13,16
2,3,28,14,11,9
2,0,3,9,7,8
2,3,10,12,7,6
1,0,6,19,10,13
2,1,12,6,10,7
1,0,20,11,8,9
3,3,9,19,19,15
2,0,5,8,19,14
2,0,5,13,13,13
1,3,13,16,8,7
2,0,9,5,13,10
2,0,4,11,8,9
2,0,1,10,6,8
2,0,13,12,6,9
3,0,5,9,9,10
2,0,7,19,8,13
1,2,25,5,11,6
2,0,12,5,18,12
2,0,1,13,15,14
2,2,12,19,9,11
2,1,4,14,10,10
2,0,2,10,14,12
2,0,1,14,8,11
2,0,1,9,17,13
1,0,5,19,16,16
1,0,0,5,6,6
1,0,17,10,17,13
2,0,7,10,14,12
2,0,10,7,13,10
2,3,0,17,14,11
3,3,2,12,19,12
1,0,13,18,11,13
2,0,2,19,8,13
2,0,3,5,7,6
1,1,6,5,14,8
1,0,4,10,18,14
2,0,2,14,19,16
1,2,1,17,7,8
3,1,4,5,13,9
3,2,5,10,9,8
2,0,12,5,17,12
3,0,17,18,19,18
3,0,4,17,7,12
1,2,8,10,19,12
3,1,9,7,9,8
2,0,1,18,6,11
3,0,14,18,15,16
3,0,4,19,8,13
2,1,7,12,14,12
1,3,5,17,6,7
1,0,5,19,6,11
2,0,5,10,16,13
3,0,15,17,12,14
3,3,7,15,5,6
1,1,7,17,18,15
2,1,3,5,11,7
2,0,0,19,9,13
1,0,2,9,19,14
1,0,6,12,15,13
2,0,8,7,12,10
3,1,9,16,5,9
2,1,3,10,15,11
2,3,6,9,11,6
2,3,2,10,9,6
2,0,14,14,8,11
4,0,6,5,11,10
2,2,8,11,14,11
1,1,3,13,19,14
2,0,2,6,6,6
2,0,12,14,16,15
1,0,10,19,19,18
1,2,23,9,5,4
